Chapter Number,Title,Authors
1,Introduction and Overview,"Lars Kotthoff, Raphael Sonabend, Natalie Foss, Bernd Bischl"
2,Data and Basic Modeling,"Natalie Foss, Lars Kotthoff"
3,Evaluation and Benchmarking,"Giuseppe Casalicchio, Lukas Burk, Sebastian Fischer"
4,Hyperparameter Optimization,"Marc Becker, Lennart Schneider, Sebastian Fischer"
5,Advanced Tuning Methods and Black Box Optimization,"Lennart Schneider, Marc Becker"
6,Feature Selection,Marvin N. Wright
7,Sequential Pipelines,"Martin Binder, Florian Pfisterer"
8,Non-sequential Pipelines and Tuning,"Martin Binder, Florian Pfisterer, Marc Becker, Marvin N. Wright"
9,Preprocessing,Janek Thomas
10,Advanced Technical Aspects of mlr3,"Michel Lang, Sebastian Fischer, Raphael Sonabend"
11,Advanced Hyperparameter Specification using paradox,"Martin Binder, Sebastian Fischer, Michel Lang, Alexander Winterstetter"
12,Large-Scale Benchmarking,"Sebastian Fischer, Michel Lang, Marc Becker"
13,Model Interpretation,"Susanne Dandl, Przemysław Biecek, Giuseppe Casalicchio, Marvin N. Wright"
14,Beyond Regression and Classification,"Raphael Sonabend, Patrick Schratz, Damir Pulatov, John Zobolas, Lona Koers"
15,Algorithmic Fairness,Florian Pfisterer
16,"Predict Sets, Validation and Internal Tuning (+)", Sebastian Fischer
